mol_id,chembl_id,smiles,ic50_nM,pIC50
mol_0441,CHEMBL255463,O=C(Cc1ccccc1Cl)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,24.0,7.62
mol_0442,CHEMBL6013826,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,23.8,7.62
mol_0443,CHEMBL3648124,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](C)C(C)(C)O)n2)cc1,24.0,7.62
mol_0444,CHEMBL3642646,Fc1ccccc1-c1cc(NCc2ccncc2)n2ncc(Br)c2n1,24.0,7.62
mol_0445,CHEMBL476518,Cc1ncc(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)n1C(C)C,24.0,7.62
mol_0446,CHEMBL5895271,C=CC(=O)Nc1ccc(OC(=O)N2CCCC(Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,24.6,7.61
mol_0447,CHEMBL5765852,CCN1CCC(COc2ccc(Nc3cc(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)c(F)cn3)nc2)CC1,24.7,7.61
mol_0448,CHEMBL319685,COc1cccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)c1,24.5,7.61
mol_0449,CHEMBL3823659,CC(=O)N1CCC(n2cc(Nc3ncc(Cl)c(-c4cnc5ccccn45)n3)cn2)CC1,25.0,7.6
mol_0450,CHEMBL485431,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)NCCN(C)C)cc3)n2)n1C,25.0,7.6
mol_0451,CHEMBL1761791,Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccc1F,25.0,7.6
mol_0452,CHEMBL272026,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1,25.0,7.6
mol_0453,CHEMBL2426395,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(OC)cc2)cc1,25.0,7.6
mol_0454,CHEMBL5201965,NCCCNCCCCNC(=O)c1ccc(CNc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,25.0,7.6
mol_0455,CHEMBL510578,O=C(NCC1CC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F,25.0,7.6
mol_0456,CHEMBL4439999,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CC[Si](C)(C)C)C5)ncc3F)cc2n1C(C)C,25.1,7.6
mol_0457,CHEMBL3648078,C[C@@H](Nc1nc(Nc2ccc(S(=N)(=O)C3CCCC3)cc2)ncc1Br)C(C)(C)O,25.0,7.6
mol_0458,CHEMBL3644028,C#CCOc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,25.0,7.6
mol_0459,CHEMBL186163,Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=S)c1c(F)cccc1F,26.0,7.58
mol_0460,CHEMBL1964256,CNS(=O)(=O)Cc1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,26.0,7.58
mol_0461,CHEMBL5205172,NCCCCNC(=O)c1ccc(CNc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,27.0,7.57
mol_0462,CHEMBL5751847,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(N)=NO)C5)ncc3F)cc2n1C(C)(C)C,27.0,7.57
mol_0463,CHEMBL491447,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cccc(CO)c21,27.0,7.57
mol_0464,CHEMBL3648105,CCC(Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)(C)O,27.0,7.57
mol_0465,CHEMBL5953254,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CCP(=O)(O)O)C5)ncc3F)cc2n1C(C)(C)C,27.6,7.56
mol_0466,CHEMBL79356,NCC[S+]([O-])c1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,28.0,7.55
mol_0467,CHEMBL3648087,CCOC(=O)N=S(C)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](COC)[C@H](C)O)n2)cc1,28.0,7.55
mol_0468,CHEMBL272668,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)cc1,28.0,7.55
mol_0469,CHEMBL5856237,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@@H](C)N(C)C)C5)ncc3F)cc2n1C(C)C,28.3,7.55
mol_0470,CHEMBL5894670,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCO)C5)ncc3F)cc2n1C(C)C,28.2,7.55
mol_0471,CHEMBL495558,CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(O)C3)s2)o1,28.0,7.55
mol_0472,CHEMBL5994564,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,28.5,7.54
mol_0473,CHEMBL114917,COc1cccc(CC(=O)Nc2cc(C3CC3)[nH]n2)c1,28.97,7.54
mol_0474,CHEMBL2426394,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)NC(=S)Nc2ccc(C)cc2)cc1,29.0,7.54
mol_0475,CHEMBL4786429,CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)c1,29.0,7.54
mol_0476,CHEMBL185971,COc1cc(F)c(C(=S)c2c(N)nc3ccc(C(=O)c4c(F)cccc4F)cn23)c(F)c1,29.0,7.54
mol_0477,CHEMBL5988596,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)(C)C,29.0,7.54
mol_0478,CHEMBL5911327,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,28.5,7.54
mol_0479,CHEMBL565137,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(OC4CCN(C)CC4)cc3)nc1-2,29.0,7.54
mol_0480,CHEMBL6060984,COCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,28.7,7.54
mol_0481,CHEMBL5814867,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,29.6,7.53
mol_0482,CHEMBL84944,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,30.0,7.52
mol_0483,CHEMBL258040,O=C(Cc1ccc(N2CCCCC2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,30.0,7.52
